PropertyDisplayName,RegistryKeyword,CommonAcrossTargets,VariantAcrossTargets,DiscoveredValues,ProposedRiskClass,ProposedTestMode,AcceptanceStatus,Notes,ApplyAllowed,AcceptedModes,OperatorVisible,Coverage,PresentTargets,MissingTargets,InterfaceDescriptions,CurrentValuesSeen,PossibleDisplayValues,Rationale
MatchingDeviceId,MatchingDeviceId,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
MaxDpcTime,MaxDpcTime,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
ModulationType,ModulationType,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
NetCfgInstanceId,NetCfgInstanceId,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
NetLuidIndex,NetLuidIndex,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
NetworkInterfaceInstallTimestamp,NetworkInterfaceInstallTimestamp,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
NS offload for WoWLAN,*PMNSOffload,TRUE,FALSE,Disabled; Enabled,high,Deferred,deferred,WoWLAN NS offload remains deferred in operator scope.,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
NumberOfNetworkInterfaces,NumberOfNetworkInterfaces,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
Packet Coalescing,*PacketCoalescing,TRUE,FALSE,Disabled; Enabled,high,Deferred,deferred,Packet coalescing remains deferred as a driver/offload tuning path.,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
PanEnabled,PanEnabled,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
PBANumber,PBANumber,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
PldrResetCounter,PldrResetCounter,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
PortAuthReceiveAuthorizationState,PortAuthReceiveAuthorizationState,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
PortAuthReceiveControlState,PortAuthReceiveControlState,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
PortAuthSendAuthorizationState,PortAuthSendAuthorizationState,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
PortAuthSendControlState,PortAuthSendControlState,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
ProviderName,ProviderName,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
RadioEnable,RadioEnable,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
RecommendedBeaconInterval,RecommendedBeaconInterval,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
RSCv4,*RscIPv4,TRUE,FALSE,Disabled; Enabled,high,Deferred,deferred,Receive-side coalescing remains deferred as a driver/network offload path.,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
RSCv6,*RscIPv6,TRUE,FALSE,Disabled; Enabled,high,Deferred,deferred,Receive-side coalescing remains deferred as a driver/network offload path.,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
SkipOverDtimEnable,SkipOverDtimEnable,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
SKU_CAP,SKU_CAP,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
Sleep on WoWLAN Disconnect,*DeviceSleepOnDisconnect,TRUE,FALSE,Disabled; Enabled,high,Deferred,deferred,WoWLAN sleep behavior is deferred because it affects power-management and unattended recovery.,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Disabled,Disabled; Enabled,
SoftwareRadioOff,SoftwareRadioOff,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
SwRadioState,SwRadioState,FALSE,TRUE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,7,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.227; 192.168.22.228,192.168.22.226,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
SystemAllowedAntennas,SystemAllowedAntennas,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
TGeEnableBits,TGeEnableBits,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
UcodeVersion,UcodeVersion,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
Wake on Magic Packet,*WakeOnMagicPacket,TRUE,FALSE,Disabled; Enabled,high,Deferred,deferred,Wake behavior remains deferred because it is outside the active advanced-settings rollout scope.,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
Wake on Pattern Match,*WakeOnPattern,TRUE,FALSE,Disabled; Enabled,high,Deferred,deferred,Wake pattern behavior remains deferred because it is outside the active rollout scope.,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
